Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip,Taxpayer County,Location Number,Location Name,Location Address,Location City,Location State,Location Zip,Location County,Inside/Outside City Limits,TABC Permit Number,Responsibility Begin Date,Responsibility End Date,Obligation End Date,Liquor Receipts,Wine Receipts,Beer Receipts,Cover Charge Receipts,Total Receipts
16114349042,AUSTIN BEL LLC,9515 HOTEL DR,AUSTIN,TX,78719,227,1,AUSTIN BEL LLC,9515 NEW AIRPORT DR,AUSTIN,TX,78719,227,Y,MB557403,06/09/2004,,03/31/2019,21454,10078,14190,0,45722
32033892418,"DC/ICON GROUP DALLAS, LLC",400 W 2ND ST,AUSTIN,TX,78701,227,3,"DC/ICON GROUP DALLAS, LLC",400 W 2ND ST UNIT B,AUSTIN,TX,78701,227,Y,MB714431,02/11/2009,,03/31/2019,20953,4508,4645,0,30106
32048172848,SCHOOL HOUSE PUB. LLC,2207 MANOR RD,AUSTIN,TX,78722,227,1,SCHOOL HOUSE PUB,2207 MANOR RD,AUSTIN,TX,78722,227,Y,MB834052,03/08/2013,,03/31/2019,21590,6996,19642,0,48228
32048379963,LAMAR BACKYARD GRILL LLC,1100 S LAMAR BLVD STE 1150,AUSTIN,TX,78704,227,1,TLC,1100 S LAMAR BLVD STE 1150,AUSTIN,TX,78704,227,Y,MB978764,04/12/2017,,03/31/2019,44470,12550,31283,0,88303
17427160662,CURIOSITY THAT KILLED THE CAT INC.,907 S CONGRESS AVE # 7,AUSTIN,TX,78704,227,3,TACO X-PRESS,2529 S LAMAR BLVD # B,AUSTIN,TX,78704,227,Y,MB465548,01/25/2000,,03/31/2019,8683,1953,3860,0,14496
32053904739,ZIVOJIN ZEKIC,11800 N LAMAR BLVD STE 3,AUSTIN,TX,78753,227,1,BALKAN CAFE & GRILL,11800 N LAMAR BLVD # 3,AUSTIN,TX,78753,227,Y,MB897476,02/06/2015,,03/31/2019,3757,778,1568,0,6103
32055645272,RGH HOLDINGS CORPORATION,1871 WESTLAKE DR,AUSTIN,TX,78746,227,1,TILLERY,3201 E CESAR CHAVEZ ST,AUSTIN,TX,78702,227,Y,MB941117,04/14/2016,,03/31/2019,13834,9355,6445,0,29634
17425229717,"THE COUNTY LINE ON THE LAKE, INC.",512 E RIVERSIDE DR STE 200,AUSTIN,TX,78704,227,1,"THE COUNTY LINE ON THE LAKE, INC.",5204 RANCH ROAD 2222,AUSTIN,TX,78731,227,Y,MB206766,12/01/1993,,03/31/2019,29893,7603,25154,0,62650
32066016992,THE KICKED UP GRUB LLC,3403 S LAMAR BLVD,AUSTIN,TX,78704,227,1,KICKED UP GRUB,3403 S LAMAR BLVD,AUSTIN,TX,78704,227,Y,MB1035527,10/29/2018,,03/31/2019,0,0,0,0,0
32042645997,"FARACE BEVERAGES, LLC",310 W 2ND ST,AUSTIN,TX,78701,227,1,"FARACE BEVERAGES, LLC",310 WILLIE NELSON BLVD,AUSTIN,TX,78701,227,Y,MB765486,01/13/2011,,03/31/2019,204181,49303,110056,0,363540
17427824804,"MA & PA JOSEPH, INC.",2938 GUADALUPE ST,AUSTIN,TX,78705,227,1,EL PATIO RESTAURANT,2938 GUADALUPE ST,AUSTIN,TX,78705,227,Y,MB542720,09/05/2003,,03/31/2019,6482,120,2017,0,8619
