CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,C_RATING,C_UPDATE,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"099903041","TRAVIS MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","QUANAH ISD","099903","08","06","06 - 08","M"
"099903102","REAGAN EL"," ","N","N","N","N","N","N","N","N","M"," ","QUANAH ISD","099903","05","PK","PK - 05","E"
"100903002","KOUNTZE H S"," ","N","N","N","N","N","N","N","N","M"," ","KOUNTZE ISD","100903","12","09","09 - 12","S"
"100903041","KOUNTZE MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","KOUNTZE ISD","100903","08","07","07 - 08","M"
"100903042","KOUNTZE INT"," ","N","N","N","N","N","N","N","N","M"," ","KOUNTZE ISD","100903","06","04","04 - 06","E"
"100903101","KOUNTZE EL"," ","N","N","N","N","N","N","N","N","M"," ","KOUNTZE ISD","100903","03","PK","PK - 03","E"
"100904001","SILSBEE H S"," ","N","N","N","N","N","N","N","N","M"," ","SILSBEE ISD","100904","12","09","09 - 12","S"
"100904002","HARDIN CO ALTER ED"," ","N","N","N","N","N","Y","N","N","X"," ","SILSBEE ISD","100904","10","09","09 - 10","S"
"100904041","EDWARDS-JOHNSON MEMORIAL MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","SILSBEE ISD","100904","08","06","06 - 08","M"
"100904105","LAURA REEVES PRI"," ","N","N","N","N","Y","N","Y","N","M"," ","SILSBEE ISD","100904","KG","EE","EE - KG","E"
"100904106","SILSBEE EL"," ","N","N","N","N","N","N","Y","N","M"," ","SILSBEE ISD","100904","05","01","01 - 05","E"
"100905001","HARDIN-JEFFERSON H S"," ","N","N","N","N","N","N","N","N","M"," ","HARDIN-JEFFERSON ISD","100905","12","09","09 - 12","S"
"100905004","HARDIN CO J J A E P"," ","N","N","N","N","N","Y","Y","N","X"," ","HARDIN-JEFFERSON ISD","100905","09","09","09 - 09","S"
"100905041","HENDERSON MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","HARDIN-JEFFERSON ISD","100905","08","06","06 - 08","M"
"100905102","CHINA EL"," ","N","N","N","N","N","N","N","N","M"," ","HARDIN-JEFFERSON ISD","100905","05","EE","EE - 05","E"
