DISTNAME,CAMPNAME,District_ID,Campus_ID,REGION,CFLALTED,C_RATING,CI1,CI1_CUT,CI1_MET,CI2,CI2_CUT,CI2_MET,CI3,CI3_CUT,CI3_MET,CI4,CI4_CUT,CI4_MET
BASTROP ISD,GENESIS H S,011901,011901022,13,True,A,55,35,Y,20,8,Y,35,13,Y,100,33,Y
BASTROP ISD,GATEWAY SCH,011901,011901033,13,False,X,,60,X,,17,X,,30,X,,,X
BASTROP ISD,BASTROP MIDDLE,011901,011901041,13,False,M,65,60,Y,40,30,Y,32,26,Y,31,13,Y
BASTROP ISD,EMILE EL,011901,011901101,13,False,M,71,60,Y,31,32,N,40,28,Y,37,12,Y
BASTROP ISD,MINA EL,011901,011901102,13,False,M,73,60,Y,39,32,Y,41,28,Y,42,12,Y
BASTROP ISD,CEDAR CREEK EL,011901,011901103,13,False,M,64,60,Y,44,32,Y,39,28,Y,37,12,Y
BASTROP ISD,BASTROP INT,011901,011901104,13,False,M,66,60,Y,30,30,Y,30,26,Y,23,13,Y
BASTROP ISD,CEDAR CREEK MIDDLE,011901,011901106,13,False,M,65,60,Y,42,30,Y,32,26,Y,39,13,Y
BASTROP ISD,RED ROCK EL,011901,011901107,13,False,M,58,60,N,36,32,Y,33,28,Y,37,12,Y
BASTROP ISD,CEDAR CREEK INT,011901,011901108,13,False,M,70,60,Y,37,30,Y,37,26,Y,31,13,Y
BASTROP ISD,BLUEBONNET EL,011901,011901109,13,False,M,65,60,Y,37,32,Y,36,28,Y,38,12,Y
BASTROP ISD,LOST PINES EL,011901,011901110,13,False,M,59,60,N,40,32,Y,41,28,Y,30,12,Y
ELGIN ISD,ELGIN H S,011902,011902001,13,False,M,69,60,Y,24,17,Y,39,30,Y,77,60,Y
ELGIN ISD,BASTROP COUNTY JUVENILE BOOT CAMP,011902,011902003,13,False,X,,60,X,,17,X,,30,X,,,X
ELGIN ISD,PHOENIX H S,011902,011902004,13,True,I,21,35,N,,8,Z,14,13,Y,100,33,Y
ELGIN ISD,ELGIN MIDDLE,011902,011902041,13,False,M,62,60,Y,35,30,Y,30,26,Y,27,13,Y
ELGIN ISD,BOOKER T WASHINGTON EL,011902,011902101,13,False,I,51,60,N,33,32,Y,25,28,N,20,12,Y
ELGIN ISD,ELGIN EL,011902,011902102,13,False,I,52,60,N,37,32,Y,24,28,N,23,12,Y
ELGIN ISD,NEIDIG EL,011902,011902103,13,False,M,59,60,N,36,32,Y,30,28,Y,25,12,Y
SMITHVILLE ISD,SMITHVILLE H S,011904,011904002,13,False,M,78,60,Y,25,17,Y,45,30,Y,74,60,Y
SMITHVILLE ISD,SMITHVILLE J H,011904,011904041,13,False,M,74,60,Y,39,30,Y,36,26,Y,28,13,Y
SMITHVILLE ISD,SMITHVILLE EL,011904,011904101,13,False,M,69,60,Y,38,32,Y,33,28,Y,28,12,Y
SMITHVILLE ISD,BROWN PRI,011904,011904102,13,False,M,,,P,,,P,,,P,,,P
MCDADE ISD,MCDADE H S,011905,011905001,13,False,M,73,60,Y,27,17,Y,37,30,Y,29,21,Y
MCDADE ISD,MCDADE EL,011905,011905101,13,False,M,71,60,Y,26,32,N,40,28,Y,27,12,Y
SEYMOUR ISD,SEYMOUR H S,012901,012901001,9,False,M,83,60,Y,38,17,Y,55,30,Y,83,60,Y
SEYMOUR ISD,SEYMOUR MIDDLE,012901,012901042,9,False,M,86,60,Y,47,30,Y,46,26,Y,49,13,Y
SEYMOUR ISD,SEYMOUR EL,012901,012901101,9,False,M,92,60,Y,52,32,Y,62,28,Y,62,12,Y
ST MARY'S ACADEMY CHARTER SCHOOL,ST MARY'S ACADEMY CHARTER SCHOOL,013801,013801101,2,False,M,86,60,Y,42,32,Y,49,28,Y,54,12,Y
BEEVILLE ISD,A C JONES H S,013901,013901001,2,False,M,60,60,Y,25,17,Y,34,30,Y,72,60,Y
BEEVILLE ISD,MORENO J H,013901,013901041,2,False,M,67,60,Y,38,30,Y,34,26,Y,36,13,Y
BEEVILLE ISD,R A HALL EL,013901,013901101,2,False,M,65,60,Y,44,32,Y,36,28,Y,29,12,Y
BEEVILLE ISD,FADDEN-MCKEOWN-CHAMBLISS EL,013901,013901102,2,False,M,,,P,,,P,,,P,,,P
BEEVILLE ISD,THOMAS JEFFERSON INT,013901,013901104,2,False,M,60,60,Y,36,30,Y,32,26,Y,23,13,Y
BEEVILLE ISD,HAMPTON-MORENO-DUGAT EARLY CHILDHO,013901,013901105,2,False,M,,,P,,,P,,,P,,,P
PAWNEE ISD,PAWNEE EL / J H,013902,013902101,2,False,M,86,60,Y,57,32,Y,47,28,Y,45,12,Y
PETTUS ISD,PETTUS SECONDARY,013903,013903001,2,False,M,66,60,Y,37,17,Y,32,30,Y,73,60,Y
PETTUS ISD,PETTUS EL,013903,013903101,2,False,I,58,60,N,34,32,Y,27,28,N,19,12,Y
SKIDMORE-TYNAN ISD,SKIDMORE-TYNAN H S,013905,013905001,2,False,M,79,60,Y,21,17,Y,43,30,Y,76,60,Y
SKIDMORE-TYNAN ISD,SKIDMORE-TYNAN J H,013905,013905041,2,False,M,82,60,Y,43,30,Y,44,26,Y,49,13,Y
SKIDMORE-TYNAN ISD,SKIDMORE-TYNAN EL,013905,013905101,2,False,M,84,60,Y,43,32,Y,46,28,Y,41,12,Y
RICHARD MILBURN ALTER HIGH SCHOOL,RICHARD MILBURN ALTER H S (KILLEEN,014801,014801001,20,True,A,45,35,Y,19,8,Y,24,13,Y,69,33,Y
RICHARD MILBURN ALTER HIGH SCHOOL,RICHARD MILBURN ACADEMY ODESSA,014801,014801002,20,True,A,28,35,N,13,8,Y,17,13,Y,34,33,Y
RICHARD MILBURN ALTER HIGH SCHOOL,RICHARD MILBURN ACADEMY MIDLAND,014801,014801003,20,True,I,27,35,N,13,8,Y,13,13,Y,29,33,N
RICHARD MILBURN ALTER HIGH SCHOOL,RICHARD MILBURN ACADEMY LUBBOCK,014801,014801004,20,True,I,30,35,N,10,8,Y,18,13,Y,31,33,N
RICHARD MILBURN ALTER HIGH SCHOOL,RICHARD MILBURN ACADEMY HOUSTON (S,014801,014801005,20,True,I,20,35,N,5,8,N,14,13,Y,16,33,N
RICHARD MILBURN ALTER HIGH SCHOOL,RICHARD MILBURN ACADEMY FORT WORTH,014801,014801006,20,True,I,31,35,N,12,8,Y,19,13,Y,8,33,N
RICHARD MILBURN ALTER HIGH SCHOOL,RICHARD MILBURN ACADEMY CORPUS CHR,014801,014801007,20,True,I,37,35,Y,8,8,Y,22,13,Y,9,33,N
RICHARD MILBURN ALTER HIGH SCHOOL,RICHARD MILBURN ACADEMY AMARILLO,014801,014801008,20,True,I,48,35,Y,29,8,Y,31,13,Y,20,33,N
RICHARD MILBURN ALTER HIGH SCHOOL,RICHARD MILBURN ACADEMY HOUSTON EA,014801,014801009,20,True,A,38,35,Y,,8,Z,20,13,Y,,,Z
RICHARD MILBURN ALTER HIGH SCHOOL,RICHARD MILBURN ACADEMY MIDLAND SO,014801,014801010,20,True,I,17,35,N,,8,Z,9,13,N,,,Z
PRIORITY CHARTER SCHOOLS,GEORGETOWN CHARTER ACADEMY,014803,014803002,12,False,M,80,60,Y,37,32,Y,52,28,Y,36,12,Y
PRIORITY CHARTER SCHOOLS,COVE CHARTER ACADEMY,014803,014803003,12,False,M,57,60,N,34,17,Y,33,30,Y,28,21,Y
PRIORITY CHARTER SCHOOLS,CEDAR PARK CHARTER ACADEMY,014803,014803004,12,False,M,71,60,Y,42,17,Y,39,30,Y,61,60,Y
PRIORITY CHARTER SCHOOLS,TEMPLE CHARTER ACADEMY,014803,014803101,12,False,M,67,60,Y,36,17,Y,37,30,Y,62,60,Y
ORENDA CHARTER SCHOOL,NEW HORIZONS,014804,014804002,12,True,X,,35,X,,8,X,,13,X,,,X
ORENDA CHARTER SCHOOL,GATEWAY TECH H S,014804,014804005,12,True,A,84,35,Y,43,8,Y,36,13,Y,100,33,Y
ORENDA CHARTER SCHOOL,GATEWAY COLLEGE PREPARATORY SCHOOL,014804,014804006,12,False,M,90,60,Y,43,17,Y,52,30,Y,89,60,Y
ORENDA CHARTER SCHOOL,NOLAN CREEK SCHOOL,014804,014804007,12,False,Z,,60,Z,,32,Z,,28,Z,,,Z
ORENDA CHARTER SCHOOL,KINGSLAND SCHOOL,014804,014804008,12,False,M,75,60,Y,37,32,Y,43,28,Y,26,12,Y
ACADEMY ISD,ACADEMY H S,014901,014901001,12,False,M,79,60,Y,32,17,Y,42,30,Y,75,60,Y
ACADEMY ISD,ACADEMY J H,014901,014901041,12,False,M,80,60,Y,35,30,Y,36,26,Y,38,13,Y
ACADEMY ISD,ACADEMY INT,014901,014901101,12,False,M,85,60,Y,55,32,Y,48,28,Y,48,12,Y
ACADEMY ISD,ACADEMY EL,014901,014901102,12,False,M,,,P,,,P,,,P,,,P
BARTLETT ISD,BARTLETT SCHOOLS,014902,014902001,13,False,I,57,60,N,30,17,Y,29,30,N,59,60,N
BELTON ISD,BELTON H S,014903,014903001,12,False,M,77,60,Y,30,17,Y,43,30,Y,78,60,Y
BELTON ISD,BELTON NEW TECH H S AT WASKOW,014903,014903005,12,False,M,90,60,Y,26,17,Y,55,30,Y,86,60,Y
BELTON ISD,LAKE BELTON MIDDLE,014903,014903043,12,False,M,77,60,Y,41,30,Y,39,26,Y,41,13,Y
BELTON ISD,SOUTH BELTON MIDDLE,014903,014903044,12,False,M,72,60,Y,32,30,Y,36,26,Y,34,13,Y
BELTON ISD,NORTH BELTON MIDDLE,014903,014903045,12,False,M,86,60,Y,39,30,Y,47,26,Y,50,13,Y
BELTON ISD,LEON HEIGHTS EL,014903,014903102,12,False,M,77,60,Y,45,32,Y,39,28,Y,38,12,Y
BELTON ISD,MILLER HEIGHTS EL,014903,014903103,12,False,M,73,60,Y,43,32,Y,42,28,Y,41,12,Y
