County,School year,Exemption rate,Year
Crockett,2016-2017,0,2017-06-01
Crockett,2014-2015,1.47,2015-06-01
Crockett,2013-2014,0,2014-06-01
Crosby,2018-2019,2.85,2019-06-01
Crosby,2011-2012,1.92,2012-06-01
Crosby,2010-2011,1.19,2011-06-01
Crosby,2017-2018,1.25,2018-06-01
Crosby,2019-2020,0,2020-06-01
Crosby,2012-2013,0,2013-06-01
Crosby,2014-2015,1.2,2015-06-01
Crosby,2013-2014,0,2014-06-01
Crosby,2016-2017,1.13,2017-06-01
Crosby,2015-2016,1.07,2016-06-01
Culberson,2015-2016,0,2016-06-01
Culberson,2010-2011,0,2011-06-01
Culberson,2016-2017,0,2017-06-01
Culberson,2019-2020,0,2020-06-01
Culberson,2017-2018,0,2018-06-01
Culberson,2013-2014,0,2014-06-01
Culberson,2011-2012,0,2012-06-01
Culberson,2018-2019,0,2019-06-01
Dallam,2011-2012,0,2012-06-01
Dallam,2016-2017,1.88,2017-06-01
Dallam,2012-2013,0,2013-06-01
Dallam,2018-2019,1.75,2019-06-01
Dallam,2015-2016,3.59,2016-06-01
Dallam,2017-2018,2.89,2018-06-01
Dallam,2014-2015,0,2015-06-01
Dallam,2019-2020,5.12,2020-06-01
Dallam,2010-2011,0.7,2011-06-01
Dallam,2013-2014,0.62,2014-06-01
Dallas,2012-2013,0.83,2013-06-01
Dallas,2016-2017,1.15,2017-06-01
Dallas,2017-2018,1.36,2018-06-01
Dallas,2010-2011,0.57,2011-06-01
Dallas,2014-2015,0.89,2015-06-01
Dallas,2018-2019,1.83,2019-06-01
Dallas,2011-2012,0.54,2012-06-01
Dallas,2013-2014,0.83,2014-06-01
Dallas,2015-2016,0.84,2016-06-01
Dallas,2019-2020,1.95,2020-06-01
Dawson,2018-2019,5.37,2019-06-01
Dawson,2011-2012,0.47,2012-06-01
Dawson,2010-2011,0,2011-06-01
Dawson,2017-2018,1.44,2018-06-01
Dawson,2014-2015,1.35,2015-06-01
Dawson,2016-2017,1.57,2017-06-01
Dawson,2015-2016,1.01,2016-06-01
Dawson,2012-2013,0.39,2013-06-01
Dawson,2013-2014,0.49,2014-06-01
Dawson,2019-2020,7.64,2020-06-01
DeWitt,2016-2017,1.97,2017-06-01
DeWitt,2013-2014,0,2014-06-01
DeWitt,2011-2012,0.9,2012-06-01
DeWitt,2014-2015,0.82,2015-06-01
DeWitt,2012-2013,0.89,2013-06-01
DeWitt,2017-2018,0.5,2018-06-01
DeWitt,2010-2011,0.56,2011-06-01
DeWitt,2018-2019,0.5,2019-06-01
DeWitt,2015-2016,1.5,2016-06-01
DeWitt,2019-2020,0.48,2020-06-01
Deaf Smith,2013-2014,0.27,2014-06-01
Deaf Smith,2010-2011,0,2011-06-01
Deaf Smith,2014-2015,0,2015-06-01
Deaf Smith,2015-2016,0,2016-06-01
Deaf Smith,2019-2020,0,2020-06-01
Deaf Smith,2011-2012,0.26,2012-06-01
Deaf Smith,2016-2017,0,2017-06-01
Deaf Smith,2012-2013,0,2013-06-01
Deaf Smith,2018-2019,0.91,2019-06-01
Deaf Smith,2017-2018,0.33,2018-06-01
Delta,2014-2015,0,2015-06-01
Delta,2019-2020,1.69,2020-06-01
Delta,2016-2017,1.78,2017-06-01
Delta,2015-2016,5.26,2016-06-01
Delta,2012-2013,0,2013-06-01
Delta,2018-2019,1.85,2019-06-01
Delta,2011-2012,3.63,2012-06-01
Delta,2010-2011,0,2011-06-01
Delta,2017-2018,0,2018-06-01
Delta,2013-2014,0,2014-06-01
Denton,2012-2013,4.52,2013-06-01
Denton,2017-2018,4.72,2018-06-01
Denton,2011-2012,4.8,2012-06-01
Denton,2010-2011,1.96,2011-06-01
Denton,2019-2020,4.65,2020-06-01
Denton,2016-2017,3.91,2017-06-01
Denton,2018-2019,5.29,2019-06-01
Denton,2013-2014,9.22,2014-06-01
Denton,2014-2015,3.4,2015-06-01
Denton,2015-2016,3.5,2016-06-01
Dickens,2018-2019,0,2019-06-01
Dickens,2012-2013,8.33,2013-06-01
Dickens,2015-2016,0,2016-06-01
Dickens,2013-2014,0,2014-06-01
Dickens,2019-2020,0,2020-06-01
Dickens,2016-2017,0,2017-06-01
Dickens,2010-2011,0,2011-06-01
Dickens,2011-2012,0,2012-06-01
Dickens,2014-2015,0,2015-06-01
Dickens,2017-2018,0,2018-06-01
Dimmit,2016-2017,0,2017-06-01
Dimmit,2010-2011,0,2011-06-01
Dimmit,2014-2015,0,2015-06-01
Dimmit,2018-2019,0,2019-06-01
Dimmit,2011-2012,0,2012-06-01
Dimmit,2012-2013,0,2013-06-01
Dimmit,2017-2018,0,2018-06-01
Dimmit,2019-2020,0,2020-06-01
Dimmit,2015-2016,0,2016-06-01
Dimmit,2013-2014,0.47,2014-06-01
Donley,2017-2018,2.5,2018-06-01
Donley,2018-2019,0,2019-06-01
Donley,2010-2011,0,2011-06-01
Donley,2019-2020,0,2020-06-01
Donley,2016-2017,2.5,2017-06-01
Donley,2015-2016,0,2016-06-01
Donley,2013-2014,0,2014-06-01
Donley,2012-2013,4.16,2013-06-01
Donley,2011-2012,0,2012-06-01
Donley,2014-2015,3.77,2015-06-01
Duval,2012-2013,0,2013-06-01
Duval,2014-2015,0,2015-06-01
Duval,2015-2016,0,2016-06-01
Duval,2018-2019,0,2019-06-01
Duval,2019-2020,1.25,2020-06-01
Duval,2010-2011,0,2011-06-01
Duval,2016-2017,0,2017-06-01
