CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,DISTNAME,DISTRICT
"014906053","CHARLES E PATTERSON MIDDLE"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906054","ROY J SMITH MIDDLE"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906100","EL ALTER LEARNING CENTER"," ","N","N","N","Y","N","N","N","N","KILLEEN ISD","014906"
"014906102","CLIFTON PARK EL"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906103","EAST WARD EL"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906105","HARKER HEIGHTS EL"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906108","MEADOWS EL"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906109","PEEBLES EL"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906110","PERSHING PARK EL"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906111","SUGAR LOAF EL"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906112","WEST WARD EL"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906113","BELLAIRE EL"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906115","NOLANVILLE EL"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
"014906116","CLARKE EL"," ","N","N","N","N","N","N","N","N","KILLEEN ISD","014906"
