CAMPUS,CPETBILC,CPETBILP,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP
"108807001",260,34.4,0,0,44,5.8,0,0
"108807002",163,22.2,0,0,36,4.9,248,33.7
"108807003",168,21.3,0,0,40,5.1,0,0
"108807004",280,34.4,0,0,52,6.4,65,8
"108807005",148,19.2,0,0,35,4.6,374,48.6
"108807006",242,32.6,0,0,57,7.7,104,14
"108807007",348,47.3,0,0,25,3.4,78,10.6
"108807008",373,48.8,0,0,21,2.7,36,4.7
"108807009",139,19.3,0,0,43,6,52,7.2
"108807010",127,16.7,0,0,27,3.5,207,27.2
"108807011",225,29.1,0,0,27,3.5,0,0
"108807012",162,21.5,0,0,58,7.7,0,0
"108807013",128,21.8,0,0,44,7.5,0,0
"108807014",211,43.1,0,0,29,5.9,0,0
"108807015",240,48.7,0,0,37,7.5,0,0
"108807016",147,77,0,0,18,9.4,0,0
"108807017",115,50,0,0,19,8.3,0,0
"108807018",33,23.4,0,0,0,0,0,0
"108807019",40,33.6,0,0,11,9.2,0,0
"108807020",60,9.9,0,0,46,7.6,36,6
"108807021",90,13.4,0,0,61,9.1,1,0.1
"108807022",75,13.2,0,0,39,6.9,93,16.4
"108807023",73,13.5,0,0,65,12,181,33.5
"108807024",59,13.9,0,0,45,10.6,0,0
"108807025",55,15.6,0,0,42,11.9,0,0
"108807026",29,7.8,0,0,46,12.3,0,0
"108807027",41,17.4,0,0,17,7.2,0,0
"108807028",46,18.4,0,0,20,8,0,0
"108807029",44,17.4,0,0,18,7.1,0,0
"108807030",19,16.7,0,0,21,18.4,0,0
"108807035",329,44.5,0,0,69,9.3,156,21.1
"108807036",284,57.4,0,0,55,11.1,0,0
"108807037",129,35.7,0,0,28,7.8,0,0
"108807038",34,27.9,0,0,1,0.8,0,0
"108807039",25,19.5,0,0,10,7.8,0,0
"108807040",21,22.6,0,0,13,14,0,0
"108807083",64,54.7,0,0,10,8.5,0,0
"108807084",15,17.2,0,0,10,11.5,0,0
"108807101",415,46.7,0,0,52,5.8,0,0
"108807102",354,41.2,0,0,26,3,0,0
"108807103",529,61.8,0,0,22,2.6,0,0
"108807104",501,55.1,0,0,29,3.2,0,0
"108807105",236,27,0,0,16,1.8,0,0
"108807106",473,55.8,0,0,34,4,0,0
"108807107",567,65.8,0,0,17,2,0,0
"108807108",722,83.3,0,0,8,0.9,0,0
"108807109",304,35.5,0,0,25,2.9,0,0
"108807110",235,33.7,0,0,19,2.7,0,0
"108807111",511,57.6,0,0,24,2.7,0,0
"108807112",267,38.2,0,0,33,4.7,0,0
"108807113",346,37.2,0,0,39,4.2,0,0
"108807114",552,73.3,0,0,30,4,0,0
"108807115",473,53.4,0,0,37,4.2,0,0
"108807116",322,58.4,0,0,15,2.7,0,0
"108807117",235,46.2,0,0,23,4.5,0,0
"108807119",146,42.7,0,0,14,4.1,0,0
"108807120",52,7.7,0,0,38,5.6,0,0
"108807121",72,8.4,0,0,64,7.5,0,0
"108807122",97,13.4,0,0,45,6.2,0,0
"108807123",109,14.9,0,0,45,6.1,0,0
"108807124",137,18.8,0,0,57,7.8,0,0
"108807125",94,15.9,0,0,33,5.6,0,0
"108807126",46,7.9,0,0,43,7.4,0,0
"108807127",54,9.5,0,0,22,3.9,0,0
"108807128",56,10.2,0,0,16,2.9,0,0
"108807129",57,10.8,0,0,14,2.7,0,0
"108807130",34,9.1,0,0,12,3.2,0,0
"108807135",432,60.3,0,0,41,5.7,0,0
"108807136",469,66.7,0,0,45,6.4,0,0
"108807137",254,42.4,0,0,54,9,0,0
"108807138",129,37.1,0,0,18,5.2,0,0
"108807139",56,15.3,0,0,22,6,0,0
"108807140",141,40.6,0,0,19,5.5,0,0
"108807183",175,43.8,0,0,9,2.3,0,0
"108807184",81,20.5,0,0,27,6.8,0,0
"108808101",610,36,0,0,67,4,552,32.6
"108808103",335,57.3,0,0,25,4.3,0,0
"108808104",407,44,0,0,61,6.6,172,18.6
"108808105",393,40.2,0,0,40,4.1,90,9.2
"108809001",163,67.4,3,1.2,20,8.3,0,0
"108902001",596,29.1,254,12.4,198,9.7,1744,85.2
"108902003",0,0,0,0,0,0,0,0
"108902006",72,45.6,0,0,10,6.3,65,41.1
