CAMPUS,CAMPNAME,CFLALTED,CFLCHART,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE
"008902102","SELMAN EL","N","N","SEALY ISD","008902","EE - 05","E"
"008902104","SEALY EL","N","N","SEALY ISD","008902","PK - 05","E"
"008903001","BRAZOS H S","N","N","BRAZOS ISD","008903","09 - 12","S"
"008903041","BRAZOS MIDDLE","N","N","BRAZOS ISD","008903","06 - 08","M"
"008903102","BRAZOS EL","N","N","BRAZOS ISD","008903","PK - 05","E"
"008903103","PRAIRIE HARBOR ALTERNATIVE SCHOOL","Y","N","BRAZOS ISD","008903","06 - 12","B"
"009901001","MULESHOE H S","N","N","MULESHOE ISD","009901","09 - 12","S"
"009901002","P E P","Y","N","MULESHOE ISD","009901","09 - 12","S"
"009901041","WATSON J H","N","N","MULESHOE ISD","009901","06 - 08","M"
"009901101","MARY DESHAZO EL","N","N","MULESHOE ISD","009901","03 - 05","E"
"009901103","DILLMAN EL","N","N","MULESHOE ISD","009901","EE - 02","E"
"010901001","MEDINA SCHOOL","N","N","MEDINA ISD","010901","PK - 12","B"
"010902001","BANDERA H S","N","N","BANDERA ISD","010902","09 - 12","S"
"010902041","BANDERA MIDDLE","N","N","BANDERA ISD","010902","06 - 08","M"
"010902101","ALKEK EL","N","N","BANDERA ISD","010902","EE - 05","E"
"010902102","HILL COUNTRY EL","N","N","BANDERA ISD","010902","EE - 05","E"
"011901001","BASTROP H S","N","N","BASTROP ISD","011901","09 - 12","S"
"011901002","CEDAR CREEK H S","N","N","BASTROP ISD","011901","09 - 12","S"
"011901005","COLORADO RIVER COLLEGIATE ACADEMY","N","N","BASTROP ISD","011901","09 - 12","S"
"011901022","GENESIS H S","Y","N","BASTROP ISD","011901","09 - 12","S"
"011901041","BASTROP MIDDLE","N","N","BASTROP ISD","011901","07 - 08","M"
"011901101","EMILE EL","N","N","BASTROP ISD","011901","PK - 04","E"
"011901102","MINA EL","N","N","BASTROP ISD","011901","EE - 04","E"
"011901103","CEDAR CREEK EL","N","N","BASTROP ISD","011901","EE - 04","E"
"011901104","BASTROP INT","N","N","BASTROP ISD","011901","05 - 06","M"
"011901106","CEDAR CREEK MIDDLE","N","N","BASTROP ISD","011901","07 - 08","M"
"011901107","RED ROCK EL","N","N","BASTROP ISD","011901","PK - 04","E"
"011901108","CEDAR CREEK INT","N","N","BASTROP ISD","011901","05 - 06","M"
"011901109","BLUEBONNET EL","N","N","BASTROP ISD","011901","PK - 04","E"
"011901110","LOST PINES EL","N","N","BASTROP ISD","011901","PK - 04","E"
"011902001","ELGIN H S","N","N","ELGIN ISD","011902","09 - 12","S"
"011902003","BASTROP COUNTY JUVENILE BOOT CAMP","N","N","ELGIN ISD","011902","07 - 10","S"
"011902004","PHOENIX H S","Y","N","ELGIN ISD","011902","09 - 12","S"
"011902041","ELGIN MIDDLE","N","N","ELGIN ISD","011902","06 - 08","M"
"011902101","BOOKER T WASHINGTON EL","N","N","ELGIN ISD","011902","KG - 05","E"
"011902102","ELGIN EL","N","N","ELGIN ISD","011902","EE - 05","E"
"011902103","NEIDIG EL","N","N","ELGIN ISD","011902","KG - 05","E"
"011904002","SMITHVILLE H S","N","N","SMITHVILLE ISD","011904","09 - 12","S"
"011904041","SMITHVILLE J H","N","N","SMITHVILLE ISD","011904","06 - 08","M"
"011904101","SMITHVILLE EL","N","N","SMITHVILLE ISD","011904","03 - 05","E"
"011904102","BROWN PRI","N","N","SMITHVILLE ISD","011904","EE - 02","E"
"011905001","MCDADE H S","N","N","MCDADE ISD","011905","07 - 12","S"
"011905011","MCDADE JJAEP","N","N","MCDADE ISD","011905","10 - 10","S"
"011905101","MCDADE EL","N","N","MCDADE ISD","011905","PK - 06","E"
"012901001","SEYMOUR H S","N","N","SEYMOUR ISD","012901","09 - 12","S"
"012901042","SEYMOUR MIDDLE","N","N","SEYMOUR ISD","012901","05 - 08","M"
"012901101","SEYMOUR EL","N","N","SEYMOUR ISD","012901","PK - 04","E"
"013801101","ST MARY'S ACADEMY CHARTER SCHOOL","N","Y","ST MARY'S ACADEMY CHARTER SCHOOL","013801","KG - 06","E"
"013901001","A C JONES H S","N","N","BEEVILLE ISD","013901","09 - 12","S"
"013901004","A C JONES HEALTH PROFESSIONS MAGNE","N","N","BEEVILLE ISD","013901","09 - 11","S"
"013901041","MORENO J H","N","N","BEEVILLE ISD","013901","06 - 08","M"
"013901042","THE JOE BARNHART ACADEMY","N","N","BEEVILLE ISD","013901","06 - 08","M"
"013901101","R A HALL EL","N","N","BEEVILLE ISD","013901","01 - 05","E"
"013901102","FADDEN-MCKEOWN-CHAMBLISS EL","N","N","BEEVILLE ISD","013901","01 - 05","E"
"013901105","HAMPTON-MORENO-DUGAT EARLY CHILDHO","N","N","BEEVILLE ISD","013901","EE - KG","E"
"013902101","PAWNEE EL / J H","N","N","PAWNEE ISD","013902","PK - 08","E"
"013903001","PETTUS SECONDARY","N","N","PETTUS ISD","013903","06 - 12","B"
"013903101","PETTUS EL","N","N","PETTUS ISD","013903","PK - 05","E"
"013905001","SKIDMORE-TYNAN H S","N","N","SKIDMORE-TYNAN ISD","013905","09 - 12","S"
"013905041","SKIDMORE-TYNAN J H","N","N","SKIDMORE-TYNAN ISD","013905","06 - 08","M"
"013905101","SKIDMORE-TYNAN EL","N","N","SKIDMORE-TYNAN ISD","013905","KG - 05","E"
"014801001","RICHARD MILBURN ALTER H S (KILLEEN","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801002","RICHARD MILBURN ACADEMY ODESSA","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801004","RICHARD MILBURN ACADEMY LUBBOCK","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801005","RICHARD MILBURN ACADEMY HOUSTON (S","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801006","RICHARD MILBURN ACADEMY FORT WORTH","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
