CAMPUS,CPETSAUC,CPETSAUP,CPETSBHC,CPETSBHP,CPETSIMC,CPETSINC,CPETSINP,CPETSNOC,CPETSNOP,CPETSPHC,CPETSPHP
"011902102",-3,-3,9,11.5,78,23,29.5,-1,-1,38,48.7
"011902103",9,12.9,5,7.1,70,29,41.4,0,0,27,38.6
"011904002",-3,-3,12,17.6,68,47,69.1,0,0,-1,-1
"011904041",-3,-3,14,30.4,46,22,47.8,0,0,-1,-1
"011904101",0,0,11,35.5,31,8,25.8,0,0,12,38.7
"011904102",-1,-1,-1,-1,47,-1,-1,8,17,34,72.3
"011905001",-1,-1,-1,-1,13,8,61.5,0,0,-1,-1
"011905101",-1,-1,-1,-1,23,5,21.7,-1,-1,12,52.2
"012901001",-1,-1,-1,-1,18,10,55.6,0,0,-1,-1
"012901042",-3,-3,7,36.8,19,6,31.6,0,0,-1,-1
"012901101",7,18.9,-1,-1,37,-3,-3,0,0,23,62.2
"013801101",-1,-1,5,14.3,35,-3,-3,0,0,21,60
"013901001",-3,-3,24,24,100,65,65,0,0,-1,-1
"013901004",0,0,0,0,0,0,0,0,0,0,0
"013901041",11,14.9,11,14.9,74,43,58.1,0,0,9,12.2
"013901042",-1,-1,0,0,-1,0,0,0,0,-1,-1
"013901101",6,12,11,22,50,15,30,0,0,18,36
"013901102",6,10.7,9,16.1,56,15,26.8,0,0,26,46.4
"013901105",5,8.9,-1,-1,56,-1,-1,11,19.6,34,60.7
"013902101",-1,-1,-1,-1,15,-1,-1,0,0,8,53.3
"013903001",-1,-1,-1,-1,21,15,71.4,0,0,-1,-1
"013903101",-1,-1,0,0,23,10,43.5,-1,-1,8,34.8
"013905001",5,14.7,-1,-1,34,26,76.5,0,0,-1,-1
"013905041",-1,-1,-1,-1,16,8,50,0,0,-1,-1
"013905101",-1,-1,-1,-1,38,8,21.1,-1,-1,22,57.9
"014801001",0,0,-3,-3,41,27,65.9,0,0,-1,-1
"014801002",-1,-1,-1,-1,26,23,88.5,0,0,0,0
"014801004",0,0,-1,-1,20,-3,-3,0,0,0,0
"014801005",0,0,-1,-1,12,-3,-3,0,0,0,0
"014801006",-1,-1,-1,-1,27,19,70.4,0,0,-1,-1
"014801007",-3,-3,11,39.3,28,11,39.3,0,0,-1,-1
"014801008",-1,-1,-3,-3,23,12,52.2,0,0,0,0
"014801009",-1,-1,-1,-1,18,16,88.9,0,0,0,0
"014801010",0,0,-1,-1,9,7,77.8,0,0,-1,-1
"014803002",-1,-1,-1,-1,7,0,0,0,0,-1,-1
"014803003",-1,-1,-3,-3,34,22,64.7,0,0,6,17.6
"014803004",0,0,15,53.6,28,-3,-3,0,0,-1,-1
"014803101",-1,-1,9,32.1,28,10,35.7,0,0,-3,-3
"014804002",-1,-1,29,82.9,35,-3,-3,0,0,0,0
"014804005",-1,-1,-1,-1,9,-1,-1,0,0,0,0
"014804006",8,11.8,13,19.1,68,19,27.9,0,0,28,41.2
"014804007",-1,-1,-1,-1,11,-1,-1,0,0,-1,-1
"014804008",0,0,8,19,42,19,45.2,0,0,15,35.7
"014901001",-3,-3,17,29.8,57,32,56.1,0,0,-1,-1
"014901041",-1,-1,6,23.1,26,14,53.8,0,0,-1,-1
"014901101",-3,-3,7,20,35,20,57.1,0,0,-1,-1
"014901102",6,19.4,6,19.4,31,-3,-3,-1,-1,12,38.7
"014902001",-1,-1,9,30,30,13,43.3,0,0,-3,-3
"014903001",-3,-3,124,31.2,398,224,56.3,0,0,-1,-1
"014903005",-1,-1,6,31.6,19,9,47.4,0,0,-1,-1
"014903043",10,7.7,59,45.4,130,49,37.7,0,0,12,9.2
"014903044",22,19.6,26,23.2,112,59,52.7,0,0,5,4.5
"014903045",10,7.6,41,31.3,131,70,53.4,0,0,10,7.6
"014903102",-1,-1,-1,-1,21,5,23.8,0,0,9,42.9
"014903103",-1,-1,-3,-3,54,26,48.1,0,0,13,24.1
"014903104",-1,-1,-3,-3,38,17,44.7,0,0,11,28.9
"014903108",-1,-1,30,32.3,93,-3,-3,0,0,43,46.2
"014903109",9,13.6,9,13.6,66,22,33.3,0,0,26,39.4
"014903111",15,18.1,-3,-3,83,18,21.7,-1,-1,36,43.4
"014903116",-3,-3,22,25.3,87,22,25.3,-1,-1,27,31
"014903117",13,12.9,13,12.9,101,41,40.6,0,0,34,33.7
"014903118",-3,-3,12,12.6,95,35,36.8,-1,-1,34,35.8
"014903119",-3,-3,-1,-1,69,0,0,23,33.3,34,49.3
"014905001",-1,-1,-3,-3,16,9,56.3,0,0,0,0
"014905041",-1,-1,-1,-1,17,14,82.4,0,0,0,0
"014905101",-1,-1,-1,-1,23,-1,-1,0,0,15,65.2
"014906001",42,11,92,24.1,382,239,62.6,0,0,9,2.4
