CAMPUS,CPETBILC,CPETBILP,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP
"015907061",118,17,65,9.4,91,13.1,169,24.4
"015907064",2,6.5,0,0,31,100,2,6.5
"015907101",236,39.8,24,4,54,9.1,0,0
"015907103",121,20.8,16,2.7,66,11.3,0,0
"015907105",0,0,19,3.6,44,8.4,0,0
"015907106",97,24.1,24,6,35,8.7,0,0
"015907107",404,69.7,84,14.5,23,4,0,0
"015907110",76,11.7,16,2.5,39,6,0,0
"015907112",155,31.5,21,4.3,38,7.7,0,0
"015907114",0,0,9,2,46,10.1,0,0
"015907116",121,23.8,15,2.9,40,7.9,0,0
"015907117",137,27.7,17,3.4,44,8.9,0,0
"015907118",195,29.2,18,2.7,68,10.2,0,0
"015907119",50,12.6,20,5.1,38,9.6,0,0
"015907121",217,36.3,29,4.8,54,9,0,0
"015907123",109,24.6,19,4.3,26,5.9,0,0
"015907124",0,0,26,8.5,29,9.5,0,0
"015907125",0,0,31,4.8,69,10.7,0,0
"015907126",167,35.6,23,4.9,36,7.7,0,0
"015907127",0,0,6,2.7,19,8.4,0,0
"015907129",270,34.1,42,5.3,53,6.7,0,0
"015907131",0,0,15,7.8,36,18.8,0,0
"015907132",167,37.9,15,3.4,31,7,0,0
"015907134",122,18.4,32,4.8,33,5,0,0
"015907135",103,19.1,26,4.8,52,9.6,0,0
"015907136",151,28.2,16,3,57,10.7,0,0
"015907137",3,0.4,22,2.7,100,12.3,0,0
"015907139",0,0,16,4,48,12,0,0
"015907140",72,20.8,11,3.2,21,6.1,0,0
"015907141",137,16.7,64,7.8,81,9.9,0,0
"015907142",0,0,13,3.6,35,9.6,0,0
"015907143",0,0,13,4.6,30,10.6,0,0
"015907144",118,17.2,22,3.2,59,8.6,0,0
"015907146",89,24.4,17,4.7,30,8.2,0,0
"015907147",118,23,17,3.3,56,10.9,0,0
"015907148",96,16.5,22,3.8,66,11.3,0,0
"015907149",165,29.4,13,2.3,59,10.5,0,0
"015907150",112,19.6,29,5.1,90,15.8,0,0
"015907153",95,36.3,11,4.2,36,13.7,0,0
"015907155",193,35.3,22,4,43,7.9,0,0
"015907157",207,32.5,37,5.8,57,8.9,0,0
"015907158",171,32.8,14,2.7,44,8.4,0,0
"015907160",101,25.7,23,5.9,41,10.4,0,0
"015907161",214,31.2,38,5.5,47,6.9,0,0
"015907162",0,0,8,1.6,49,10,0,0
"015907163",172,100,1,0.6,8,4.7,0,0
"015907164",129,22.6,26,4.6,69,12.1,0,0
"015907165",88,22.7,13,3.4,34,8.8,0,0
"015907166",0,0,0,0,8,7.6,0,0
"015907168",147,32.8,7,1.6,26,5.8,0,0
"015907169",107,24.3,13,3,38,8.6,0,0
"015907172",67,14,10,2.1,26,5.4,0,0
